x,y,z
-1.3562491111279276,-2.3424385961127823,0
-0.9208336544050789,-2.572659469733577,0
-1.049876622161144,-2.7141638800676606,0
-0.8170970765906623,-2.653519926502404,0
-1.3928205549038248,-2.3807511582408707,0
-1.6105980545402605,-1.7808817909024015,0
-1.0742524170084415,-2.6491679017727345,0
-1.194069925506957,-2.348918740745213,0
-0.6169914074870698,-2.8945851380391208,0
-0.9596204245863641,-2.50505880119439,0
-1.6033027173285004,-2.0304317104172016,0
-1.0579622986153598,-2.394487409228043,0
-0.8987996006656241,-2.665211538758715,0
-0.8409267667436183,-3.172761055440303,0
-2.1834493740121212,-1.9241432815963846,0
-2.224495916626246,-1.6211867189266191,0
-1.83523848254369,-2.056657260521438,0
-1.341005590763309,-2.310676139235878,0
-1.697002961637102,-1.6515726901079353,0
-1.5260954160790936,-2.166576164500257,0
-1.2853145533729207,-1.9494870335875798,0
-1.4337721183404153,-2.1536737996667834,0
-1.4125924665082332,-2.934720341703627,0
-1.015016522114788,-2.0653710712913584,0
-0.8330860397616625,-2.1998899447107636,0
-0.8225120267556735,-2.3729503128197726,0
-1.109427776350297,-2.209371121336843,0
-1.347279918305711,-2.2110113321764087,0
-1.340692318965703,-2.298832624298388,0
-0.8640500609166518,-2.4961102525903818,0
-0.8463602504274431,-2.453472884926649,0
-1.3704382833815552,-2.0217995377092737,0
-0.7397291193772416,-2.673334528855873,0
-2.0686149678895687,-1.9247191369189975,0
-0.9473387140628874,-2.467823847549934,0
-1.2326788813857184,-2.617703711832065,0
-1.6818436887669965,-2.135932837632963,0
-1.369633119770324,-2.482014348033256,0
-0.7556857400149863,-2.945843303316765,0
-1.2354391725166725,-2.2910106360095246,0
-1.355415558684381,-2.4421883195830754,0
-1.8230010374033532,-2.584966956758526,0
-0.8876319039014804,-2.9166212024085705,0
-1.148719940619085,-2.1133725204383005,0
-1.3450994889545598,-1.8046020070795716,0
-0.8612385006347191,-2.596199840922184,0
-1.5041615568957418,-2.115568592299744,0
-0.9515537295237255,-2.709384284102435,0
-1.5521683818071623,-2.0950807832462717,0
-1.1813157412959971,-2.4419075377221993,0
-0.2089642126114317,1.500523990794353,1
0.0974272665779222,0.9866484148747543,1
0.03138686235777592,1.5808464719599675,1
0.8122363236193941,-0.19181423384478524,1
0.26583237055201675,1.0598123413240466,1
0.6180251420082968,0.40542138557560947,1
0.22205059800475152,1.1244350056509331,1
0.5881925929513206,-1.093807707929039,1
0.05279612914745245,1.1034561475351172,1
0.7068329401682685,-0.33714951976232305,1
0.9458876526421559,-0.9953131141956444,1
0.2850100582821278,0.43220706790689273,1
0.04528222201756232,0.1401408228026061,1
0.481780799949849,0.8473681039952674,1
0.1003775310422086,-0.25632975132078684,1
-0.13589564699983767,1.078511326740442,1
0.6450319570350713,0.43699519239154194,1
0.37284374484576593,0.0555061606219498,1
1.068941071174378,0.5264217190160894,1
0.5098286780116839,-0.20879513121283155,1
0.6475739687692695,0.9624458933695454,1
0.10981519042106186,0.32301680092445534,1
0.8352600203313267,1.0235525485762849,1
0.5048380662538312,0.7552747026930263,1
0.055322285075667596,0.7367202064384019,1
-0.03746317951309174,0.9964545095624897,1
0.06633718130561891,1.4027717620699724,1
